"CountryCode","year","population","region"
"ABW",1960,54211,"Americas"
"AFG",1960,8996351,"Asia"
"AGO",1960,5643182,"Africa"
"ALB",1960,1608800,"Europe"
"AND",1960,13411,"Europe"
"ARE",1960,92634,"Asia"
"ARG",1960,20619075,"Americas"
"ARM",1960,1874120,"Asia"
"ASM",1960,20013,"Oceania"
"ATG",1960,55339,"Americas"
"AUS",1960,10276477,"Oceania"
"AUT",1960,7047539,"Europe"
"AZE",1960,3895396,"Asia"
"BDI",1960,2786106,"Africa"
"BEL",1960,9153489,"Europe"
"BEN",1960,2431622,"Africa"
"BFA",1960,4829288,"Africa"
"BGD",1960,48199747,"Asia"
"BGR",1960,7867374,"Europe"
"BHR",1960,162427,"Asia"
"BHS",1960,109528,"Americas"
"BIH",1960,3225668,"Europe"
"BLR",1960,8198000,"Europe"
"BLZ",1960,92064,"Americas"
"BMU",1960,44400,"Americas"
"BOL",1960,3693449,"Americas"
"BRA",1960,72207554,"Americas"
"BRB",1960,230939,"Americas"
"BRN",1960,81745,"Asia"
"BTN",1960,223288,"Asia"
"BWA",1960,524552,"Africa"
"CAF",1960,1503508,"Africa"
"CAN",1960,17909009,"Americas"
"CHE",1960,5327827,"Europe"
"CHL",1960,7716625,"Americas"
"CHN",1960,667070000,"Asia"
"CIV",1960,3558988,"Africa"
"CMR",1960,5176268,"Africa"
"COD",1960,15248251,"Africa"
"COG",1960,1037220,"Africa"
"COL",1960,16480383,"Americas"
"COM",1960,191121,"Africa"
"CPV",1960,202310,"Africa"
"CRI",1960,1333040,"Americas"
"CUB",1960,7141135,"Americas"
"CUW",1960,124826,"Americas"
"CYM",1960,7865,"Americas"
"CYP",1960,572930,"Asia"
"CZE",1960,9602006,"Europe"
"DEU",1960,72814900,"Europe"
"DJI",1960,83636,"Africa"
"DMA",1960,60011,"Americas"
"DNK",1960,4579603,"Europe"
"DOM",1960,3294042,"Americas"
"DZA",1960,11124888,"Africa"
"ECU",1960,4545550,"Americas"
"EGY",1960,26996533,"Africa"
"ERI",1960,1397491,"Africa"
"ESP",1960,30455000,"Europe"
"EST",1960,1211537,"Europe"
"ETH",1960,22151278,"Africa"
"FIN",1960,4429634,"Europe"
"FJI",1960,393386,"Oceania"
"FRA",1960,46814237,"Europe"
"FRO",1960,34661,"Europe"
"FSM",1960,44537,"Oceania"
"GAB",1960,499184,"Africa"
"GBR",1960,52400000,"Europe"
"GEO",1960,3645600,"Asia"
"GHA",1960,6652287,"Africa"
"GIB",1960,23394,"Europe"
"GIN",1960,3577409,"Africa"
"GMB",1960,367928,"Africa"
"GNB",1960,616409,"Africa"
"GNQ",1960,255323,"Africa"
"GRC",1960,8331725,"Europe"
"GRD",1960,89869,"Americas"
"GRL",1960,32500,"Americas"
"GTM",1960,4210747,"Americas"
"GUM",1960,66742,"Oceania"
"GUY",1960,571819,"Americas"
"HKG",1960,3075605,"Asia"
"HND",1960,2038637,"Americas"
"HRV",1960,4140000,"Europe"
"HTI",1960,3866159,"Americas"
"HUN",1960,9983967,"Europe"
"IDN",1960,87792515,"Asia"
"IMN",1960,48442,"Europe"
"IND",1960,449480608,"Asia"
"IRL",1960,2828600,"Europe"
"IRN",1960,21906903,"Asia"
"IRQ",1960,7289761,"Asia"
"ISL",1960,175574,"Europe"
"ISR",1960,2114020,"Asia"
"ITA",1960,50199700,"Europe"
"JAM",1960,1628252,"Americas"
"JOR",1960,932257,"Asia"
"JPN",1960,92500572,"Asia"
"KAZ",1960,9714260,"Asia"
"KEN",1960,8105440,"Africa"
"KGZ",1960,2172300,"Asia"
"KHM",1960,5722370,"Asia"
"KIR",1960,41233,"Oceania"
"KNA",1960,51195,"Americas"
"KOR",1960,25012374,"Asia"
"KWT",1960,269618,"Asia"
"LAO",1960,2120896,"Asia"
"LBN",1960,1804926,"Asia"
"LBR",1960,1120313,"Africa"
"LBY",1960,1448417,"Africa"
"LCA",1960,89897,"Americas"
"LIE",1960,16495,"Europe"
"LKA",1960,9896000,"Asia"
"LSO",1960,851591,"Africa"
"LTU",1960,2778550,"Europe"
"LUX",1960,313970,"Europe"
"LVA",1960,2120979,"Europe"
"MAC",1960,167796,"Asia"
"MAF",1960,4279,"Americas"
"MAR",1960,12328532,"Africa"
"MCO",1960,22452,"Europe"
"MDA",1960,2544000,"Europe"
"MDG",1960,5099373,"Africa"
"MDV",1960,89887,"Asia"
"MEX",1960,38174112,"Americas"
"MHL",1960,14662,"Oceania"
"MKD",1960,1488667,"Europe"
"MLI",1960,5263733,"Africa"
"MLT",1960,326550,"Europe"
"MMR",1960,20986123,"Asia"
"MNE",1960,480579,"Europe"
"MNG",1960,955505,"Asia"
"MNP",1960,10035,"Oceania"
"MOZ",1960,7388695,"Africa"
"MRT",1960,858168,"Africa"
"MUS",1960,659351,"Africa"
"MWI",1960,3618595,"Africa"
"MYS",1960,8157106,"Asia"
"NAM",1960,602544,"Africa"
"NCL",1960,79000,"Oceania"
"NER",1960,3388764,"Africa"
"NGA",1960,45137812,"Africa"
"NIC",1960,1774699,"Americas"
"NLD",1960,11486631,"Europe"
"NOR",1960,3581239,"Europe"
"NPL",1960,10063011,"Asia"
"NRU",1960,4433,"Oceania"
"NZL",1960,2371800,"Oceania"
"OMN",1960,551740,"Asia"
"PAK",1960,44908293,"Asia"
"PAN",1960,1132921,"Americas"
"PER",1960,10061515,"Americas"
"PHL",1960,26273025,"Asia"
"PLW",1960,9642,"Oceania"
"PNG",1960,2010677,"Oceania"
"POL",1960,29637450,"Europe"
"PRI",1960,2358000,"Americas"
"PRK",1960,11424176,"Asia"
"PRT",1960,8857716,"Europe"
"PRY",1960,1902875,"Americas"
"PSE",1960,NA,"Asia"
"PYF",1960,78076,"Oceania"
"QAT",1960,47384,"Asia"
"ROU",1960,18406905,"Europe"
"RUS",1960,119897000,"Europe"
"RWA",1960,2933428,"Africa"
"SAU",1960,4086539,"Asia"
"SDN",1960,7544491,"Africa"
"SEN",1960,3206749,"Africa"
"SGP",1960,1646400,"Asia"
"SLB",1960,117866,"Oceania"
"SLE",1960,2297110,"Africa"
"SLV",1960,2762899,"Americas"
"SMR",1960,15397,"Europe"
"SOM",1960,2755947,"Africa"
"SRB",1960,NA,"Europe"
"SSD",1960,2955152,"Africa"
"STP",1960,64253,"Africa"
"SUR",1960,289966,"Americas"
"SVK",1960,4068095,"Europe"
"SVN",1960,1584720,"Europe"
"SWE",1960,7484656,"Europe"
"SWZ",1960,349174,"Africa"
"SXM",1960,NA,"Americas"
"SYC",1960,41700,"Africa"
"SYR",1960,4573512,"Asia"
"TCA",1960,5726,"Americas"
"TCD",1960,3001593,"Africa"
"TGO",1960,1580513,"Africa"
"THA",1960,27397175,"Asia"
"TJK",1960,2087038,"Asia"
"TKM",1960,1603258,"Asia"
"TLS",1960,499950,"Asia"
"TON",1960,61601,"Oceania"
